#online:true
#name:ANSI(Big5)
#id:big5@big5
#type:bin
#pattern:
#base:
#description:BIG5碼又稱為大五碼，為民國73年所提出的常用電腦漢字集內碼，以2個位元組(byte)編碼，內含13,051個中文字，適用於Windows95／98／ME等以上作業系統及大部分的應用程式。
01-4421	A440
01-4422	A441
01-4423	A442
01-4424	A443
01-4425	A444
01-4426	A445
01-4427	A446
01-4428	A447
01-4429	A448
01-442A	A449
01-442B	A44A
01-442C	A44B
01-442D	A44C
01-442E	A44D
01-442F	A44E
01-4430	A44F
01-4431	A450
01-4432	A451
01-4433	A452
01-4434	A453
01-4435	A454
01-4436	A455
01-4437	A456
01-4438	A457
01-4439	A458
01-443A	A459
01-443B	A45A
01-443C	A45B
01-443D	A45C
01-443E	A45D
01-443F	A45E
01-4440	A45F
01-4441	A460
01-4442	A461
01-4443	A462
01-4444	A463
01-4445	A464
01-4446	A465
01-4447	A466
01-4448	A467
01-4449	A468
01-444A	A469
01-444B	A46A
01-444C	A46B
01-444D	A46C
01-444E	A46D
01-444F	A46E
01-4450	A46F
01-4451	A470
01-4452	A471
01-4453	A472
01-4454	A473
01-4455	A474
01-4456	A475
01-4457	A476
01-4458	A477
01-4459	A478
01-445A	A479
01-445B	A47A
01-445C	A47B
01-445D	A47C
01-445E	A47D
01-445F	A47E
01-4460	A4A1
01-4461	A4A2
01-4462	A4A3
01-4463	A4A4
01-4464	A4A5
01-4465	A4A6
01-4466	A4A7
01-4467	A4A8
01-4468	A4A9
01-4469	A4AA
01-446A	A4AB
01-446B	A4AC
01-446C	A4AD
01-446D	A4AE
01-446E	A4AF
01-446F	A4B0
01-4470	A4B1
01-4471	A4B2
01-4472	A4B3
01-4473	A4B4
01-4474	A4B5
01-4475	A4B6
01-4476	A4B7
01-4477	A4B8
01-4478	A4B9
01-4479	A4BA
01-447A	A4BB
01-447B	A4BC
01-447C	A4BD
01-447D	A4BE
01-447E	A4BF
01-4521	A4C0
01-4522	A4C1
01-4523	A4C2
01-4524	A4C3
01-4525	A4C4
01-4526	A4C5
01-4527	A4C6
01-4528	A4C7
01-4529	A4C8
01-452A	A4C9
01-452B	A4CA
01-452C	A4CB
01-452D	A4CC
01-452E	A4CD
01-452F	A4CE
01-4530	A4CF
01-4531	A4D0
01-4532	A4D1
01-4533	A4D2
01-4534	A4D3
01-4535	A4D4
01-4536	A4D5
01-4537	A4D6
01-4538	A4D7
01-4539	A4D8
01-453A	A4D9
01-453B	A4DA
01-453C	A4DB
01-453D	A4DC
01-453E	A4DD
01-453F	A4DE
01-4540	A4DF
01-4541	A4E0
01-4542	A4E1
01-4543	A4E2
01-4544	A4E3
01-4545	A4E4
01-4546	A4E5
01-4547	A4E6
01-4548	A4E7
01-4549	A4E8
01-454A	A4E9
01-454B	A4EA
01-454C	A4EB
01-454D	A4EC
01-454E	A4ED
01-454F	A4EE
01-4550	A4EF
01-4551	A4F0
01-4552	A4F1
01-4553	A4F2
01-4554	A4F3
01-4555	A4F4
01-4556	A4F5
01-4557	A4F6
01-4558	A4F7
01-4559	A4F8
01-455A	A4F9
01-455B	A4FA
01-455C	A4FB
01-455D	A4FC
01-455E	A4FD
01-455F	A4FE
01-4560	A540
01-4561	A541
01-4562	A542
01-4563	A543
01-4564	A544
01-4565	A545
01-4566	A546
01-4567	A547
01-4568	A548
01-4569	A549
01-456A	A54A
01-456B	A54B
01-456C	A54C
01-456D	A54D
01-456E	A54E
01-456F	A54F
01-4570	A550
01-4571	A551
01-4572	A552
01-4573	A553
01-4574	A554
01-4575	A555
01-4576	A556
01-4577	A557
01-4578	A558
01-4579	A559
01-457A	A55A
01-457B	A55B
01-457C	A55C
01-457D	A55D
01-457E	A55E
01-4621	A55F
01-4622	A560
01-4623	A561
01-4624	A562
01-4625	A563
01-4626	A564
01-4627	A565
01-4628	A566
01-4629	A567
01-462A	A568
01-462B	A569
01-462C	A56A
01-462D	A56B
01-462E	A56C
01-462F	A56D
