#online:true
#name:工商內碼
#id:inc@inc
#type:bin
#pattern:
#base:
#description:經濟部商業司為管理全國公司行號的工商登記用字，其編碼系統以大五碼為基礎，並建置約五千餘個自造字。
01-2621	C6A1
01-2622	C6A2
01-2623	C6A3
01-2624	C6A4
01-2625	C6A5
01-2626	C6A6
01-2627	C6A7
01-2628	C6A8
01-2629	C6A9
01-262A	C6AA
01-262B	C6AB
01-262C	C6AC
01-262D	C6AD
01-262E	C6AE
01-262F	C6AF
01-2630	C6B0
01-2631	C6B1
01-2632	C6B2
01-2633	C6B3
01-2634	C6B4
01-2635	C6B5
01-2636	C6B6
01-2637	C6B7
01-2638	C6B8
01-2639	C6B9
01-263A	C6BA
01-263B	C6BB
01-263C	C6BC
01-263D	C6BD
01-263E	C6BE
01-2728	C6C2
01-272F	C6C5
01-2734	C6C6
01-2737	C6C7
01-273A	C6C8
01-273C	C6C9
01-2742	C6CA
01-2747	C6CB
01-274E	C6CC
01-2754	C6CE
01-2755	C6CF
01-2759	C6D0
01-2863	C6D6
01-463C	FEFD
01-5274	925E
01-5672	8DBB
01-5E69	8CEC
03-2121	8DCC
03-2122	C6BF
03-2123	C6C0
03-2124	C6C1
03-2127	C6C3
03-2128	C6C4
03-212C	FEDF
03-212F	FEE0
03-2132	FEE1
03-2138	847D
03-213B	8B70
03-213D	8CD1
03-2141	FEE3
03-2142	86E8
03-2144	8664
03-214A	FEE5
03-214B	FEE4
03-214C	FDE7
03-2150	897E
03-215C	8564
03-215E	FEEB
03-2161	FEE2
03-2163	FEED
03-2164	FEEE
03-2167	FEEF
03-2168	8A57
03-2169	8DC0
03-216E	FEE6
03-2174	FEF4
03-2175	FEA8
03-2178	FEF7
03-217E	8668
03-2223	FDD5
03-2224	FECF
03-222C	FEFC
03-222D	FEFB
03-222E	FDF6
03-2233	8E42
03-2234	8E40
03-2236	865E
03-223B	8E43
03-223D	8E45
03-223E	FE40
03-223F	FEF1
03-2248	8475
03-2249	8E46
03-224B	8E49
03-224D	8E4A
03-2251	8669
03-2254	8E4E
03-2257	8E4C
03-2259	8572
03-225A	8E4D
03-225B	8DBE
03-225C	86E6
03-2266	8E51
03-2267	8E60
03-2268	8E61
03-226B	827C
03-226C	8E5D
03-226D	8E52
03-226F	8E58
03-2270	8E5A
03-2271	8E5F
03-2272	8E5C
03-2274	8E62
03-2277	8E57
03-227D	8E64
03-227E	8E63
03-2321	8E66
03-232E	8E6D
03-2333	8567
03-2334	8E73
03-2337	8E71
03-233A	8E70
03-2340	FEFE
03-2341	8E78
03-2342	8E77
03-2344	8EA8
03-2347	8E79
03-234B	8E7A
03-2352	8E7C
03-2354	8676
03-2355	82A3
03-2357	827E
03-2358	8EA1
03-235A	8DD3
03-235D	866F
03-2362	FE42
03-2369	86EE
03-236E	8EA5
03-2375	8EAD
03-2376	8EAB
03-2378	FE65
03-237C	8CF4
03-237D	8EAF
03-237E	8EAE
03-2421	FECB
03-2422	FEC1
03-2423	847B
03-2424	8EB1
03-2425	FECA
03-2426	8EB2
03-2427	FEC9
03-2428	FEC8
03-2429	FEC7
03-242A	FEC6
03-242B	8CC0
03-242C	FEC5
03-242D	FEC4
03-242F	8EB4
03-2433	866D
03-2436	FEC3
03-2438	8EB8
03-243C	8EBB
03-243D	82A1
03-243E	8EBD
03-2440	867C
03-2442	FDFD
03-2443	FEC2
03-2446	8EC6
03-2448	8EC7
03-2449	8EC0
03-244B	856B
03-244C	8EC1
03-244E	FDEB
03-2454	8ECA
03-2457	8ECB
03-2459	8DFE
03-245D	8ED1
03-245E	8ED2
03-2467	8ED5
03-2468	8BD7
03-246A	82A4
03-246B	8EDB
03-2473	FDE4
03-2474	8ED9
03-2476	8ED8
03-2477	8EDE
03-2478	8EDF
03-2479	8EDC
03-247B	8ED7
03-247E	8F47
03-2523	827D
03-2527	867E
03-252A	8EE1
03-2531	8EE9
03-2535	FE64
03-2536	8EE7
03-2538	8EE5
03-253C	8EE6
03-2540	8EE2
03-2541	8F59
03-2545	8CFB
03-2546	8EEC
03-254C	867D
03-254D	8EF5
03-254F	8DCA
03-2551	8F55
03-2552	8EF1
03-2556	8EF2
03-2557	8EEE
